model_id,image_id,N_valid,reference_crop_fraction,predicted_crop_fraction,crop_TP,crop_FP,crop_FN,crop_TN,absolute_error,signed_error
M1,ave-0007-0000,2081067,0.0028105774585825446,0.03642554516505235,1344,74460,4505,2000758,0.03361496770646981,0.03361496770646981
M1,ave-0032-0006,2070507,0.014721515068531523,0.009312211936496713,14717,4564,15764,2035462,0.005409303132034811,-0.005409303132034811
M1,ave-0037-0015,2087959,0.019690041806376467,0.025383640196000017,39813,13187,1299,2033660,0.00569359838962355,0.00569359838962355
M1,ave-0042-0008,2087665,0.003457451267324978,0.0012842098708365566,2544,137,4674,2080310,0.0021732413964884213,-0.0021732413964884213
M1,ave-0065-0014,2088329,0.044867930292592784,0.027002450284413997,42261,14129,51438,1980501,0.017865480008178787,-0.017865480008178787
M1,ave-0083-0014,2088434,0.019657312608394616,0.018029777335553818,30039,7615,11014,2039766,0.001627535272840798,-0.001627535272840798
M1,ave-0084-0011,2088453,0.036356097072809394,0.04678055958166164,55757,41942,20171,1970583,0.010424462508852247,0.010424462508852247
M1,ave-0088-0010,2088711,0.1421216242936433,0.15950986038757875,290633,42537,6218,1749323,0.017388236093935444,0.017388236093935444
M1,ave-0092-0008,2087536,0.08851535973511356,0.05045086647607514,102869,2449,81910,1900308,0.038064493259038414,-0.038064493259038414
M1,ave-0118-0030,2088960,0.0009215111825980392,0.0408380246629902,1389,83920,536,2003115,0.03991651348039216,0.03991651348039216
M1,ave-0199-0011,2088960,0.005077167585784314,0.0006333295036764706,1250,73,9356,2078281,0.004443838082107843,-0.004443838082107843
M1,ave-0202-0010,2088635,0.008407404836172907,0.007001702068575888,12486,2138,5074,2068937,0.001405702767597019,-0.001405702767597019
M1,ave-0203-0006,2088823,0.0025430589379760757,0.0027762045898575417,3662,2137,1650,2081374,0.00023314565188146605,0.00023314565188146605
M1,ave-0204-0005,2086582,0.0038416894231810684,0.003644716574761979,4748,2857,3268,2075709,0.00019697284841908944,-0.00019697284841908944
