image_id,n_valid_pixels,true_soil_background_pred_soil_background_count,true_soil_background_pred_crop_count,true_soil_background_pred_weed_count,true_soil_background_pred_dicot_count,true_soil_background_pred_grass_count,true_crop_pred_soil_background_count,true_crop_pred_crop_count,true_crop_pred_weed_count,true_crop_pred_dicot_count,true_crop_pred_grass_count,true_weed_pred_soil_background_count,true_weed_pred_crop_count,true_weed_pred_weed_count,true_weed_pred_dicot_count,true_weed_pred_grass_count,true_dicot_pred_soil_background_count,true_dicot_pred_crop_count,true_dicot_pred_weed_count,true_dicot_pred_dicot_count,true_dicot_pred_grass_count,true_grass_pred_soil_background_count,true_grass_pred_crop_count,true_grass_pred_weed_count,true_grass_pred_dicot_count,true_grass_pred_grass_count,prob_functional_true_soil_pred_soil_count,prob_functional_true_soil_pred_crop_count,prob_functional_true_soil_pred_functional_weed_count,prob_functional_true_crop_pred_soil_count,prob_functional_true_crop_pred_crop_count,prob_functional_true_crop_pred_functional_weed_count,prob_functional_true_functional_weed_pred_soil_count,prob_functional_true_functional_weed_pred_crop_count,prob_functional_true_functional_weed_pred_functional_weed_count
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame23,1251936,1060546,4963,1275,0,9718,2082,67683,0,0,352,0,0,0,0,0,10405,29,426,0,2349,34408,1504,995,0,55201,1057282,4906,14314,2059,67522,536,40954,1343,63020
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame28,1251936,1147998,4742,1470,0,4427,3933,58005,0,0,0,0,0,0,0,0,0,0,0,0,0,16660,5,1191,0,13505,1146023,4695,7919,3933,57999,6,15005,5,16351
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame30,1251936,1223467,2476,228,0,256,1447,13105,0,0,0,0,0,0,0,0,0,0,0,0,0,8880,207,490,0,1380,1222992,2476,959,1447,13105,0,8021,191,2745
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame31,1251936,1203267,2099,739,0,0,1434,21447,0,0,0,0,0,0,0,0,222,0,36,0,0,16646,586,5254,0,206,1202921,2040,1144,1434,21447,0,16044,213,6693
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame35,1251936,1194634,2083,3,0,844,1460,27379,0,0,0,0,0,0,0,0,0,0,0,0,0,12846,6828,0,0,5859,1194081,2060,1423,1460,27379,0,11655,6399,7479
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame44,1251936,1087139,5172,1446,1,22436,514,34572,24,0,111,0,0,0,0,0,2302,0,908,0,822,15145,2208,369,0,78767,1082514,5165,28515,501,34572,148,14810,1953,83758
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame47,1251936,1193937,3225,604,0,1070,1400,29744,0,0,0,0,0,0,0,0,216,0,0,0,0,11791,171,0,0,9778,1193110,3224,2502,1400,29744,0,10947,137,10872
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame50,1251936,1243774,142,1458,0,0,896,5011,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,126,0,0,1243742,142,1490,896,5011,0,508,0,147
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame52,1251936,1221013,1810,431,0,0,2133,25680,0,0,0,0,0,0,0,0,350,0,519,0,0,0,0,0,0,0,1221006,1810,438,2133,25680,0,345,0,524
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame55,1251936,1231959,937,120,0,0,1553,16557,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,351,0,0,1231944,929,143,1552,16550,8,388,0,422
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame60,1251936,1209936,2046,597,0,171,1476,31140,0,0,0,0,0,0,0,0,946,0,315,0,0,2993,443,294,0,1579,1209652,2046,1052,1476,31140,0,3510,443,2617
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame93,1251936,1231593,147,1051,0,1088,117,1516,0,0,0,0,0,0,0,0,3374,0,1918,1,0,6778,0,1073,0,3280,1230292,147,3440,117,1516,0,8411,0,8013
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame96,1251936,1213709,840,637,0,2453,357,7497,0,0,0,0,0,0,0,0,2963,0,2147,0,0,9316,556,917,0,10544,1212062,840,4737,357,7497,0,10044,522,15877
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame97,1251936,1205269,160,1319,4,2161,201,2024,0,0,0,0,0,0,0,0,3169,416,1549,277,674,16638,0,4559,0,13516,1203432,160,5321,201,2024,0,16970,44,23784
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame102,1251936,1168175,1546,3644,58,897,1379,35799,0,0,0,0,0,0,0,0,12754,0,19296,625,373,3954,0,550,0,2886,1165852,1546,6922,1379,35799,0,12959,0,27479
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame103,1251936,1184694,1677,1671,0,3139,1721,22328,49,0,0,0,0,0,0,0,2458,0,1756,0,157,16818,464,3564,0,11440,1181621,1560,8000,1691,22130,277,15340,334,20983
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame113,1251936,1205732,1729,1231,1,1800,1490,16430,0,0,0,0,0,0,0,0,5197,497,2805,13,0,9394,0,263,0,5354,1203896,1714,4883,1490,16408,22,12055,135,11333
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame114,1251936,1203729,2103,1827,0,4484,994,14091,0,0,0,0,0,0,0,0,4397,991,2148,0,0,8207,0,1118,0,7847,1201563,2103,8477,994,14091,0,10238,991,13479
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame117,1251936,1218179,626,1583,0,3879,191,874,0,0,0,0,0,0,0,0,1525,3123,702,1,0,13123,0,1283,0,6847,1215939,497,7831,191,874,0,12204,3123,11277
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame125,1251936,1166819,3003,261,2,6619,618,27902,20,0,376,0,0,0,0,0,3343,0,241,0,35,17597,136,574,0,24390,1164506,2970,9228,609,27710,597,18155,111,28050
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame128,1251936,1164018,2370,277,237,3934,1238,27674,0,0,0,0,0,0,0,0,2631,0,295,205,1225,26663,1151,38,0,19980,1162424,2362,6050,1238,27674,0,26448,1034,24706
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame132,1251936,1178513,2661,32,2,2995,1054,52737,0,0,0,0,0,0,0,0,2121,0,45,27,535,3333,0,0,0,7881,1177958,2661,3584,1054,52737,0,4900,0,9042
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame139,1251936,1192652,2272,679,47,2016,1181,29286,0,0,0,0,0,0,0,0,4465,32,2331,277,802,6841,0,618,0,8437,1191244,2272,4150,1181,29286,0,9152,14,14637
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame143,1251936,1173623,3480,218,311,1766,1641,54155,0,0,0,0,0,0,0,0,2582,0,1242,1057,248,6534,0,142,50,4887,1172653,3480,3265,1641,54155,0,7728,0,9014
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame145,1251936,1196196,2523,520,0,2132,812,23731,0,0,0,0,0,0,0,0,632,95,215,0,0,10984,169,3075,0,10852,1194472,2511,4388,812,23731,0,9416,133,16473
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame150,1251936,1157010,3913,246,14,707,3069,75527,0,0,0,0,0,0,0,0,3447,719,354,24,432,2889,0,281,0,3304,1156172,3913,1805,3069,75527,0,5443,719,5288
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame151,1251936,1156618,3990,471,0,501,3724,76604,0,0,0,0,0,0,0,0,3601,56,1118,1,110,3476,0,309,0,1357,1156150,3989,1441,3724,76604,0,6171,28,3829
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame152,1251936,1170274,4338,68,0,354,2971,68075,0,0,0,0,0,0,0,0,0,0,0,0,0,2684,0,1341,5,1826,1169974,4338,722,2971,68075,0,2257,0,3599
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame156,1251936,1204943,1583,158,8,1858,2736,32521,0,0,0,0,0,0,0,0,1569,0,539,60,176,2975,0,0,0,2810,1204374,1583,2593,2736,32521,0,3807,0,4322
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame161,1251936,1201484,1142,16,0,5089,1050,11697,0,0,0,0,0,0,0,0,619,14,146,0,99,12293,0,0,0,18287,1200339,1132,6260,1050,11697,0,11642,0,19816
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame169,1251936,1154455,3853,1,125,4917,1469,62615,0,0,0,0,0,0,0,0,1470,0,13,207,457,10853,0,0,0,11501,1153699,3853,5799,1469,62615,0,11394,0,13107
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame180,1251936,1119744,8304,34,40,4572,2588,93416,0,0,0,0,0,0,0,0,2041,0,145,141,2347,5536,204,24,0,12800,1118822,8304,5568,2588,93416,0,6709,204,16325
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame182,1251936,1110388,4260,3328,0,3849,1038,48177,0,0,0,0,0,0,0,0,4024,1980,39310,0,0,11938,783,7682,0,15179,1108305,4164,9356,1038,48177,0,13593,2437,64866
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame197,1251936,1246363,132,237,0,118,0,0,0,0,0,0,0,0,0,0,1532,1212,600,0,0,888,0,408,0,446,1246056,132,662,0,0,0,1989,1212,1885
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame205,1251936,1182779,3576,123,0,4001,1872,40115,0,0,0,0,0,0,0,0,454,0,146,0,0,7292,560,145,0,10873,1181676,3576,5227,1872,40115,0,6630,560,12280
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame209,1251936,1163988,4043,21,0,2246,1126,66776,0,0,0,0,0,0,0,0,479,168,147,0,175,3845,0,7,0,8915,1163582,4043,2673,1126,66776,0,3855,168,9713
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame210,1251936,1150789,4513,68,0,5963,1390,43041,0,0,563,0,0,0,0,0,1755,1765,49,0,1112,7102,7628,109,0,26089,1149348,4347,7638,1384,42816,794,7676,8825,29108
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame214,1251936,1226610,732,561,0,465,530,14565,0,0,0,0,0,0,0,0,4737,105,1867,0,0,728,0,40,0,996,1225933,732,1703,530,14565,0,4775,105,3593
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame215,1251936,1216931,1424,1425,0,121,1651,24234,0,0,0,0,0,0,0,0,2046,0,879,0,0,1268,0,1822,0,135,1216498,1424,1979,1651,24234,0,2852,0,3298
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame220,1251936,1200183,2207,30,4,1078,952,40168,0,0,0,0,0,0,0,0,781,543,87,3,85,3404,0,0,0,2411,1199798,2207,1497,952,40168,0,3734,543,3037
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame223,1251936,1147029,6854,80,0,0,3040,92569,0,0,0,0,0,0,0,0,991,825,548,0,0,0,0,0,0,0,1147015,6854,94,3040,92569,0,986,825,553
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame232,1251936,1155778,4234,975,0,0,4015,81396,0,0,0,0,0,0,0,0,1431,0,1602,0,0,737,0,1768,0,0,1155582,4234,1171,4015,81396,0,1955,0,3583
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame234,1251936,1142338,5732,277,10,3532,2981,81812,0,0,0,0,0,0,0,0,3440,14,643,98,422,3674,0,298,0,6665,1141284,5732,4873,2981,81812,0,5975,14,9265
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame239,1251936,1225024,1529,594,0,0,969,15496,0,0,0,0,0,0,0,0,1791,5755,778,0,0,0,0,0,0,0,1225017,1527,603,969,15496,0,1786,5755,783
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame242,1251936,1197348,1650,1053,0,0,1405,45922,0,0,0,0,0,0,0,0,2533,112,1913,0,0,0,0,0,0,0,1197298,1650,1103,1405,45922,0,2492,112,1954
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame246,1251936,1127116,6111,276,0,0,2968,110671,0,0,0,0,0,0,0,0,2235,0,461,0,0,703,1208,172,0,15,1127031,6053,419,2968,110671,0,2767,1023,1004
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame253,1251936,1179641,3198,558,0,488,2245,61080,0,0,0,0,0,0,0,0,1967,460,676,1,0,644,0,245,0,733,1179198,3170,1517,2245,61080,0,2158,456,2112
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame256,1251936,1127653,5693,27,32,2210,2497,103183,0,0,0,0,0,0,0,0,1392,0,34,61,511,3559,0,0,0,5084,1127154,5693,2768,2497,103183,0,4528,0,6113
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame257,1251936,1173896,3545,83,82,841,2269,66490,0,0,0,0,0,0,0,0,1348,0,498,203,71,1350,0,0,0,1260,1173499,3545,1403,2269,66490,0,2135,0,2595
