image_id,n_valid_pixels,total_error_count,within_functional_count,within_functional_error_rate,crop_weed_functional_count,crop_weed_functional_error_rate,vegetation_soil_count,vegetation_soil_error_rate,crop_soil_count,crop_soil_error_rate,weedfunctional_soil_count,weedfunctional_soil_error_rate,cross_functional_count,cross_functional_error_rate,crop_fp_total,crop_fn_total,crop_fp_from_soil,crop_fp_from_weed,crop_fp_from_dicot,crop_fp_from_grass,crop_fn_to_soil,crop_fn_to_weed,crop_fn_to_dicot,crop_fn_to_grass
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame23,1251936,68506,3770,0.003011336042737009,1885,0.0015056680213685046,62851,0.050203045523093834,7045,0.005627284461825525,55806,0.04457576106126831,64736,0.05170871354446234,6496,2434,4963,0,29,1504,2082,0,0,352
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame28,1251936,32428,1191,0.0009513265853845564,5,3.993814380287811e-06,31232,0.02494696214502978,8675,0.0069292679497993505,22557,0.018017694195230426,31237,0.024950955959410066,4747,3933,4742,0,0,5,3933,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame30,1251936,13984,490,0.0003913938092682054,207,0.00016534391534391533,13287,0.010613162334176827,3923,0.003133546762773816,9364,0.007479615571403011,13494,0.010778506249520743,2683,1447,2476,0,0,207,1447,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame31,1251936,27016,5290,0.004225455614344504,586,0.00046807504536973133,21140,0.016885847199856863,3533,0.0028220292411113668,17607,0.014063817958745495,21726,0.017353922245226593,2685,1434,2099,0,0,586,1434,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame35,1251936,24064,0,0.0,6828,0.0054539529177210335,17236,0.01376747693172814,3543,0.002830016869871942,13693,0.010937460061856197,24064,0.019221429849449172,8911,1460,2083,0,0,6828,1460,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame44,1251936,51458,2099,0.0016766032768448227,2343,0.0018715014186028679,47016,0.03755463538072234,5686,0.004541765713263298,41330,0.03301286966745904,49359,0.039426136799325204,7380,649,5172,0,0,2208,514,24,0,111
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame47,1251936,18477,0,0.0,171,0.0001365884518058431,18306,0.01462215320910973,4625,0.0036942783017662245,13681,0.010927874907343506,18477,0.014758741660915575,3396,1400,3225,0,0,171,1400,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame50,1251936,3151,126,0.00010064412238325282,0,0.0,3025,0.002416257700074125,1038,0.0008291158653477494,1987,0.0015871418347263757,3025,0.002416257700074125,142,896,142,0,0,0,896,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame52,1251936,5243,519,0.0004145579326738747,0,0.0,4724,0.0037733558264959233,3943,0.003149522020294967,781,0.000623833806200956,4724,0.0037733558264959233,1810,2133,1810,0,0,0,2133,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame55,1251936,3420,351,0.00028036576949620425,0,0.0,3069,0.002451403266620658,2490,0.0019889195613833296,579,0.0004624837052373284,3069,0.002451403266620658,937,1553,937,0,0,0,1553,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame60,1251936,9281,609,0.0004864465915190553,443,0.0003538519540935,8229,0.006573019707077678,3522,0.0028132428494747337,4707,0.0037597768576029447,8672,0.006926871661171178,2489,1476,2046,0,0,443,1476,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame93,1251936,15546,2991,0.002389099762288168,0,0.0,12555,0.010028467908902692,264,0.0002108733992791964,12291,0.009817594509623495,12555,0.010028467908902692,147,117,147,0,0,0,117,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame96,1251936,20186,3064,0.00244740945224037,556,0.0004441121590880045,16566,0.013232305804769574,1197,0.0009561191626409018,15369,0.012276186642128671,17122,0.013676417963857577,1396,357,840,0,0,556,357,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame97,1251936,30850,6782,0.005417209825422386,416,0.0003322853564399458,23652,0.018892339544513456,361,0.0002883533982567799,23291,0.018603986146256676,24068,0.019224624900953405,576,201,160,0,416,0,201,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame102,1251936,44451,20219,0.016150186591007847,0,0.0,24232,0.019355622012626843,2925,0.002336381412468369,21307,0.017019240600158473,24232,0.019355622012626843,1546,1379,1546,0,0,0,1379,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame103,1251936,33474,5477,0.004374824272167267,513,0.0004097653554175293,27484,0.021953198885566034,3398,0.0027141962528435958,24086,0.01923900263272244,27997,0.022362964240983566,2141,1770,1677,0,0,464,1721,49,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame113,1251936,24407,3068,0.0024506045037446,497,0.00039698514940060835,20842,0.01664781586279171,3219,0.002571217698029292,17623,0.014076598164762416,21339,0.017044801012192315,2226,1490,1729,0,497,0,1490,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame114,1251936,26269,3266,0.002608759553203998,991,0.000791574010173044,22012,0.017582368427779056,3097,0.0024737686271502695,18915,0.015108599800628786,23003,0.0183739424379521,3094,994,2103,0,991,0,994,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame117,1251936,26035,1985,0.0015855443089742606,3123,0.0024945364619277663,20927,0.016715710707256602,817,0.0006525892697390282,20110,0.016063121437517574,24050,0.019210247169184368,3749,191,626,0,3123,0,191,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame125,1251936,32825,850,0.0006789484446489278,532,0.000424941850062623,31443,0.025115501111877922,3621,0.002892320374204432,27822,0.02222318073767349,31975,0.025540442961940548,3139,1014,3003,0,0,136,618,20,0,376
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame128,1251936,40059,1558,0.0012444725608976818,1151,0.0009193760703422539,37350,0.029833793420749943,3608,0.0028819364568156837,33742,0.02695185696393426,38501,0.030753169491092195,3521,1238,2370,0,0,1151,1238,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame132,1251936,12778,580,0.00046328246811338597,0,0.0,12198,0.009743309562150141,3715,0.002967404084553843,8483,0.006775905477596299,12198,0.009743309562150141,2661,1054,2661,0,0,0,1054,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame139,1251936,21284,3751,0.002996159548091915,32,2.5560412033841985e-05,17501,0.013979149093883394,3453,0.002758128211026762,14048,0.011221020882856632,17533,0.014004709505917236,2304,1181,2272,0,32,0,1181,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame143,1251936,18214,1682,0.0013435191575288195,0,0.0,16532,0.013205147866983616,5121,0.004090464688290775,11411,0.00911468317869284,16532,0.013205147866983616,3480,1641,3480,0,0,0,1641,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame145,1251936,21157,3290,0.0026279298622293792,264,0.0002108733992791964,17603,0.014060622907241265,3335,0.0026638741916519696,14268,0.011396748715589296,17867,0.014271496306520462,2787,812,2523,0,95,169,812,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame150,1251936,16071,1067,0.0008522799887534187,719,0.0005743105078853871,14285,0.011410327684482274,6982,0.005576962400633898,7303,0.0058333652838483754,15004,0.01198463819236766,4632,3069,3913,0,719,0,3069,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame151,1251936,17356,1537,0.0012276985405004729,56,4.473072105922347e-05,15763,0.01259089921529535,7714,0.0061616568259080335,8049,0.006429242389387317,15819,0.012635629936354574,4046,3724,3990,0,56,0,3724,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame152,1251936,11761,1346,0.0010751348311734785,0,0.0,10415,0.00831911535413951,7309,0.005838157861104721,3106,0.0024809574930347877,10415,0.00831911535413951,4338,2971,4338,0,0,0,2971,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame156,1251936,11602,715,0.0005711154563811569,0,0.0,10887,0.008696131431638677,4319,0.0034498568616926103,6568,0.005246274569946067,10887,0.008696131431638677,1583,2736,1583,0,0,0,2736,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame161,1251936,20468,245,0.0001956969046341027,14,1.1182680264805868e-05,20209,0.01614219896224727,2192,0.001750888224318176,18017,0.014391310737929095,20223,0.016153381642512076,1156,1050,1142,0,14,0,1050,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame169,1251936,23158,470,0.00037541855174705416,0,0.0,22688,0.01812233213199397,5322,0.0042510160263783455,17366,0.013871316105615622,22688,0.01812233213199397,3853,1469,3853,0,0,0,1469,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame180,1251936,25835,2516,0.002009687396160826,204,0.00016294762671574265,23115,0.018463403880070547,10892,0.008700125246018965,12223,0.00976327863405158,23319,0.01862635150678629,8508,2588,8304,0,0,204,2588,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame182,1251936,78192,46992,0.03753546507169696,2763,0.002206981826547044,28437,0.02271441990644889,5298,0.004231845717352964,23139,0.018482574189095928,31200,0.024921401732995938,7023,1038,4260,0,1980,783,1038,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame197,1251936,5127,1008,0.0008051529790660225,1212,0.0009681006057817652,2907,0.002322003680699333,132,0.0001054366996395982,2775,0.002216566981059735,4119,0.0032901042864810983,1344,0,132,0,1212,0,0,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame205,1251936,18169,291,0.00023243999693275055,560,0.00044730721059223476,17318,0.013832975487564859,5448,0.004351660148761598,11870,0.009481315338803262,17878,0.014280282698157095,4136,1872,3576,0,0,560,1872,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame209,1251936,12257,329,0.0002627929862229379,168,0.00013419216317767042,11760,0.00939345142243693,5169,0.004128805306341538,6591,0.0052646461160953915,11928,0.0095276435856146,4211,1126,4043,0,168,0,1126,0,0,0
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame210,1251936,32017,1270,0.0010144288525931037,9956,0.007952483194029088,20791,0.016607078956112773,5903,0.004715097257367789,14888,0.011891981698744983,30747,0.02455956215014186,13906,1953,4513,0,1765,7628,1390,0,0,563
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame214,1251936,9765,1907,0.0015232408046417709,105,8.387010198604402e-05,7753,0.006192808578074279,1262,0.0010080387495846432,6491,0.005184769828489635,7858,0.006276678680060322,837,530,732,0,105,0,530,0,0,0
