recording_set,session_id,selected_image_id,eligible_image_count,selection_index_zero_based,selected_frame_number,mask_width,mask_height
Application,ave-0007,ave-0007-0000,1,0,0000,1920,1088
Application,ave-0032,ave-0032-0006,1,0,0006,1920,1088
Application,ave-0037,ave-0037-0015,19,9,0015,1920,1088
Application,ave-0042,ave-0042-0008,10,4,0008,1920,1088
Application,ave-0065,ave-0065-0014,7,3,0014,1920,1088
Application,ave-0083,ave-0083-0014,15,7,0014,1920,1088
Application,ave-0084,ave-0084-0011,5,2,0011,1920,1088
Application,ave-0088,ave-0088-0010,1,0,0010,1920,1088
Application,ave-0092,ave-0092-0008,1,0,0008,1920,1088
Application,ave-0118,ave-0118-0030,1,0,0030,1920,1088
Application,ave-0199,ave-0199-0011,19,9,0011,1920,1088
Application,ave-0202,ave-0202-0010,12,5,0010,1920,1088
Application,ave-0203,ave-0203-0006,6,2,0006,1920,1088
Application,ave-0204,ave-0204-0005,10,4,0005,1920,1088
Application,ave-0225,ave-0225-0010,13,6,0010,1920,1088
Application,ave-0228,ave-0228-0020,1,0,0020,1920,1088
Application,ave-0301,ave-0301-0007,7,3,0007,1920,1088
Application,ave-0312,ave-0312-0008,7,3,0008,1920,1088
Application,ave-0315,ave-0315-0008,12,5,0008,1920,1088
Application,ave-0319,ave-0319-0013,19,9,0013,1920,1088
Application,ave-0322,ave-0322-0006,10,4,0006,1920,1088
Application,ave-0323,ave-0323-0007,8,3,0007,1920,1088
Application,ave-0355,ave-0355-0010,14,6,0010,1920,1088
Application,ave-0358,ave-0358-0032,58,28,0032,1920,1088
Application,ave-0362,ave-0362-0025,48,23,0025,1920,1088
Application,ave-0364,ave-0364-0026,31,15,0026,1920,1088
Application,ave-0365,ave-0365-0004,6,2,0004,1920,1088
Application,ave-0463,ave-0463-0002,1,0,0002,1920,1088
Application,ave-0464,ave-0464-0011,19,9,0011,1920,1088
Application,ave-0465,ave-0465-0002,2,0,0002,1920,1088
Application,ave-0466,ave-0466-0011,20,9,0011,1920,1088
Application,ave-0479,ave-0479-0012,19,9,0012,1920,1088
Application,ave-0480,ave-0480-0002,1,0,0002,1920,1088
Application,ave-0481,ave-0481-0002,1,0,0002,1920,1088
Application,ave-0486,ave-0486-0002,1,0,0002,1920,1088
Application,ave-0487,ave-0487-0002,1,0,0002,1920,1088
Application,ave-0503,ave-0503-0011,20,9,0011,1920,1088
Application,ave-0506,ave-0506-0007,11,5,0007,1920,1088
Application,ave-0516,ave-0516-0012,19,9,0012,1920,1088
Application,ave-0519,ave-0519-0010,17,8,0010,1920,1088
Application,ave-0522,ave-0522-0002,1,0,0002,1920,1088
Application,ave-0523,ave-0523-0012,20,9,0012,1920,1088
Application,ave-0525,ave-0525-0011,20,9,0011,1920,1088
Application,ave-0546,ave-0546-0004,5,2,0004,1920,1088
Application,ave-0553,ave-0553-0002,2,0,0002,1920,1088
Application,ave-0571,ave-0571-0011,20,9,0011,1920,1088
Application,ave-0605,ave-0605-0002,2,0,0002,1920,1088
Application,ave-0606,ave-0606-0004,5,2,0004,1920,1088
