image_id,acquisition_date,model_development_split
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame23,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame28,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame30,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame31,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame35,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame44,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame47,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame50,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame52,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame55,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame60,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame93,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame96,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame97,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame102,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame103,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame113,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame114,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame117,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame125,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame128,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame132,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame139,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame143,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame145,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame150,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame151,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame152,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame156,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame161,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame169,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame180,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame182,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame197,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame205,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame209,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame210,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame214,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame215,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame220,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame223,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame232,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame234,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame239,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame242,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame246,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame253,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame256,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame257,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame258,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame261,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame269,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame276,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame283,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame288,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame301,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-37-10_0_frame304,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame1,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame17,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame21,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame27,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame28,2016-05-23,heldout_model_selection
2016-05-23__bonirob_2016-05-23-10-42-16_1_frame30,2016-05-23,heldout_model_selection
