image_id,acquisition_date,generalization_role,date_specific_generalization_claim_supported,sequence_id,frame_index
2016-04-29__1461926009_604845562,2016-04-29,cross_date,false,,
2016-04-29__1461926010_604880009,2016-04-29,cross_date,false,,
2016-04-29__1461926011_604916128,2016-04-29,cross_date,false,,
2016-04-29__1461926012_604949024,2016-04-29,cross_date,false,,
2016-04-29__1461926013_604998609,2016-04-29,cross_date,false,,
2016-04-29__1461926014_604941733,2016-04-29,cross_date,false,,
2016-04-29__1461926015_604903443,2016-04-29,cross_date,false,,
2016-04-29__1461926016_604995266,2016-04-29,cross_date,false,,
2016-04-29__1461926017_604989736,2016-04-29,cross_date,false,,
2016-04-29__1461926018_604951803,2016-04-29,cross_date,false,,
2016-04-29__1461926019_604966069,2016-04-29,cross_date,false,,
2016-04-29__1461926020_605042418,2016-04-29,cross_date,false,,
2016-04-29__1461926021_605059526,2016-04-29,cross_date,false,,
2016-04-29__1461926022_605017021,2016-04-29,cross_date,false,,
2016-04-29__1461926023_605086787,2016-04-29,cross_date,false,,
2016-04-29__1461926024_605119811,2016-04-29,cross_date,false,,
2016-04-29__1461926025_605079649,2016-04-29,cross_date,false,,
2016-04-29__1461926026_605127035,2016-04-29,cross_date,false,,
2016-04-29__1461926027_605095658,2016-04-29,cross_date,false,,
2016-04-29__1461926028_605081452,2016-04-29,cross_date,false,,
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame0,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,0
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame1,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,1
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame2,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,2
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame3,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,3
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame4,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,4
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame5,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,5
2016-05-02__bonirob_2016-05-02-12-21-51_1_frame6,2016-05-02,cross_date,true,bonirob_2016-05-02-12-21-51_1,6
